user_id,recommended_post_ids
2,"3035,4151,2748,3014,3018,2698,2523,3024,2860,2525"
3,"3030,3035,2748,4175,4151,3018,2523,2698,3024,2525"
4,"3030,2748,3014,2523,3018,2525,2698,3024,3031,3944"
5,"3035,2748,3014,2523,2525,2860,3944,3031,3178,3941"
6,"3035,2748,3014,3018,2523,2525,2698,2860,3024,3031"
7,"3035,3030,2748,2523,3018,3014,2216,2525,3031,2698"
8,"3018,2748,2523,3014,2698,2525,2216,2056,4152,3031"
9,"3035,3030,2523,3018,3014,2748,2061,2860,3031,3024"
10,"3035,3030,2523,4176,4152,2748,4178,2698,4148,3031"
11,"3030,2523,2748,3018,2061,4853,4157,3031,3017,3944"
12,"3035,2523,4853,2748,2061,4176,4157,3014,3024,4152"
13,"3030,2523,2061,3031,3014,4853,2746,3859,2728,2624"
14,"2523,3035,2746,3031,3014,4853,2624,2061,2698,3180"
15,"3014,3017,4853,3030,3029,2523,2748,2061,3025,4739"
16,"2523,4853,3030,2748,4206,2061,2746,3031,3166,4739"
17,"2523,2748,3030,3035,3018,4739,2412,3014,2698,3031"
18,"3035,2523,2748,4206,4853,4739,2698,3859,3944,2412"
20,"3035,2523,2698,2849,3859,2624,3014,3018,3031,4816"
21,"3035,2523,3030,3017,3029,2698,3025,2860,2746,2850"
22,"2698,3014,3029,3017,2523,2748,2861,3035,3030,2933"
23,"3035,3666,3944,4206,3031,3941,2412,4739,2748,4308"
24,"3035,3017,2748,3029,2746,3182,2523,3025,3030,2412"
25,"4206,3177,3035,2412,2748,3018,2746,2698,4308,3030"
26,"3014,3029,3182,2523,2861,3030,2699,2933,3031,2754"
27,"2699,2748,3035,2523,2746,2624,3018,3014,3185,2470"
29,"2523,2699,3177,2412,3035,2860,3030,3180,3031,3034"
30,"3014,3035,3182,3017,3025,3029,3024,3944,4308,3030"
31,"3014,2699,3182,3017,3029,2933,2861,2523,3035,2860"
32,"2699,3970,4206,2523,3030,3035,3969,2697,4308,3018"
33,"2699,4206,2523,2029,2746,2412,3030,3024,3166,4308"
34,"3177,2523,3024,3030,3035,4206,4157,2860,4308,2412"
35,"2699,3017,3182,2933,2861,3025,3029,3974,3033,3679"
36,"2699,3014,3182,3029,3030,3025,2861,2933,2746,3974"
37,"2399,2020,4855,2624,3030,3026,3674,2526,3035,2753"
38,"3176,3974,2523,3030,2699,3970,3180,2624,3185,2399"
39,"3182,3025,2861,3029,2933,2754,3679,3974,3018,4712"
40,"2699,2523,2746,3974,4712,3024,2860,2748,4157,2412"
41,"2850,2860,1535,2746,2748,2698,2523,4712,3035,3974"
42,"2624,3974,2523,2399,3859,3682,2748,3766,2020,3031"
43,"3014,2861,2933,2754,2746,3030,3974,3716,4712,3035"
44,"3014,2861,3029,3017,3025,2933,2746,2754,2029,2732"
45,"2849,1911,3974,4712,4206,3035,2748,3024,4157,2698"
46,"2746,3035,1911,3974,2697,2860,2748,2412,4206,1535"
47,"3014,2699,3025,3182,3017,2933,2746,3030,3970,2861"
48,"1535,2735,3019,3026,1590,2398,3716,4217,1664,3970"
49,"3176,3014,2523,3974,2699,3180,3029,3182,2399,3716"
50,"3014,2746,1911,2748,2754,3182,2470,4712,2860,2861"
51,"3182,2861,2754,3025,3029,2933,1911,3969,4217,3716"
52,"4712,2523,3974,3944,4739,3941,3666,3185,4206,4308"
53,"3182,3017,2861,2754,3029,2933,2699,3974,1911,2746"
54,"3018,3974,2523,3035,3017,3944,4712,3030,3025,3679"
55,"2699,2523,3970,3034,2412,1926,3030,3289,2860,3974"
56,"2464,3014,2312,3182,3017,1727,2409,4822,3679,3025"
57,"3974,2699,3035,2746,2850,3028,4206,3287,2412,3024"
58,"2698,3014,3974,3018,3017,3944,2523,4308,3029,3679"
59,"3014,2858,2523,3025,3944,3017,3030,3974,4308,2861"
60,"2698,2523,3974,3176,1911,3018,3031,3180,2860,3035"
61,"4732,3679,3673,3035,1616,4822,2748,3172,3974,2061"
62,"3035,4308,3974,4712,3859,2921,2624,3969,3180,3679"
63,"2699,1911,3974,3035,2746,4206,2860,2412,2748,3018"
64,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
65,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
66,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
67,"2013,1768,1670,2683,4213,2736,3030,2698,4826,1963"
68,"4178,4153,4152,4176,4155,4174,4148,4175,4151,4117"
69,"3289,3035,3924,2698,2746,3185,1619,2748,2470,3287"
70,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
71,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
72,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
73,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
74,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
75,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
76,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
77,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
78,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
79,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
80,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
81,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
82,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
83,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
84,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
85,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
86,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
87,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
88,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
89,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
90,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
91,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
92,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
93,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
94,"3035,2523,2860,2746,3185,2464,2470,4712,3180,3287"
95,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
96,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
97,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
98,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
99,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
100,"2736,4826,3030,3716,2698,3974,3679,4289,3840,4712"
