user_id,name,interested_in
2,User 2,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
3,User 3,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
4,User 4,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
5,User 5,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
6,User 6,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
7,User 7,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
8,User 8,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
9,User 9,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
10,User 10,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
11,User 11,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
12,User 12,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
13,User 13,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
14,User 14,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
15,User 15,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
16,User 16,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
17,User 17,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
18,User 18,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
20,User 20,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
21,User 21,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
22,User 22,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
23,User 23,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
24,User 24,"Memes,Money,News,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
25,User 25,"Memes,Money,Personal Finance,Learn,Investing 101,Market Trends,Alternate Investments,Shopping"
26,User 26,"Memes,Money,Personal Finance,Learn,Investing 101,Market Trends,Shopping"
27,User 27,"Memes,Money,Personal Finance,Learn,Investing 101,Market Trends,Shopping"
29,User 29,"Memes,Money,Learn,Investing 101,Market Trends,Shopping"
30,User 30,
31,User 31,"Memes,Money,Learn,Investing 101,Market Trends,Shopping"
32,User 32,"Memes,Money,Learn,Investing 101,Market Trends,Shopping"
33,User 33,"Memes,Money,Learn,Investing 101,Market Trends,Shopping"
34,User 34,"Memes,Money,Learn,Investing 101,Market Trends,Shopping"
35,User 35,"Money,News,Personal Finance,Learn,Market Trends"
36,User 36,"Memes,Money,Learn,Investing 101,Shopping"
37,User 37,"Memes,Money,Learn,Investing 101,Shopping"
38,User 38,"Money,News,Personal Finance,Investing 101,Market Trends"
39,User 39,"Memes,Money,Learn,Investing 101,Shopping"
40,User 40,
41,User 41,"Memes,Learn,Investing 101,Shopping"
42,User 42,"Memes,Investing 101,Shopping"
43,User 43,"Memes,Investing 101,Shopping"
44,User 44,"Memes,Learn,Investing 101,Shopping"
45,User 45,"Memes,Shopping"
46,User 46,Memes
47,User 47,Memes
48,User 48,Memes
49,User 49,
50,User 50,"Money,Personal Finance,Learn,Market Trends"
51,User 51,"Memes,News,Learn,Market Trends,Alternate Investments"
52,User 52,Memes
53,User 53,
54,User 54,Memes
55,User 55,Memes
56,User 56,
57,User 57,
58,User 58,
59,User 59,
60,User 60,"Memes,Money,News,Learn,Investing 101"
61,User 61,
62,User 62,
63,User 63,Memes
64,User 64,
65,User 65,
66,User 66,
67,User 67,
68,User 68,"Money,Personal Finance,Investing 101,Market Trends"
69,User 69,
70,User 70,
71,User 71,
72,User 72,
73,User 73,
74,User 74,
75,User 75,
76,User 76,
77,User 77,
78,User 78,
79,User 79,
80,User 80,
81,User 81,Memes
82,User 82,
83,User 83,
84,User 84,
85,User 85,
86,User 86,
87,User 87,
88,User 88,
89,User 89,
90,User 90,
91,User 91,
92,User 92,
93,User 93,
94,User 94,
95,User 95,
96,User 96,
97,User 97,
98,User 98,
99,User 99,
100,User 100,
